source,target,ak,bk,ck,xpos,value
Andre,Arbeidsgiver 3,Andre,Arbeidsgiver 3,"Ferdig besvart, avsluttet og henvist nav.no",0,1
Andre,Familie,Andre,Familie,Delvis løst/videreformidlet NAV Familie og pensjon,0,1
Andre,Familie,Andre,Familie,Delvis løst/videreformidlet NKS/NSS,0,2
Andre,Familie,Andre,Familie,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Andre,Familie,Andre,Familie,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Andre,Familie,Andre,Familie,"Ferdig besvart, avsluttet og henvist nav.no",0,21
Andre,Familie,Andre,Familie,Innringer ringer selv tilbake senere,0,3
Andre,Familie,Andre,Familie,Ringt feil,0,2
Andre,Internasjonalt,Andre,Internasjonalt,Delvis løst/videreformidlet NKS/NSS,0,2
Andre,Internasjonalt,Andre,Internasjonalt,"Ferdig besvart, avsluttet og henvist nav.no",0,8
Andre,Klageinstans,Andre,Klageinstans,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Andre,Lege og behandler,Andre,Lege og behandler,Delvis løst/videreformidlet NKS/NSS,0,3
Andre,Lege og behandler,Andre,Lege og behandler,Delvis løst/videreformidlet til Arbeid og ytelser,0,2
Andre,Lege og behandler,Andre,Lege og behandler,Delvis løst/videreformidlet til NAV-kontor,0,1
Andre,Lege og behandler,Andre,Lege og behandler,"Ferdig besvart, avsluttet og henvist nav.no",0,2
Andre,Lege og behandler,Andre,Lege og behandler,Ringt feil,0,12
Andre,Pensjon,Andre,Pensjon,Delvis løst/videreformidlet NØP/NØS,0,1
Andre,Pensjon,Andre,Pensjon,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Andre,Pensjon,Andre,Pensjon,Delvis løst/videreformidlet til NAV-kontor,0,2
Andre,Pensjon,Andre,Pensjon,"Ferdig besvart, avsluttet og henvist nav.no",0,18
Andre,Pensjon,Andre,Pensjon,Ringt feil,0,1
Andre,Pleiepenger,Andre,Pleiepenger,Skrevet feil,0,1
Andre,Sosiale tjenester,Andre,Sosiale tjenester,Brutt samtale / teknisk feil,0,2
Andre,Sosiale tjenester,Andre,Sosiale tjenester,Delvis løst/videreformidlet NKS/NSS,0,6
Andre,Sosiale tjenester,Andre,Sosiale tjenester,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Andre,Sosiale tjenester,Andre,Sosiale tjenester,Delvis løst/videreformidlet til NAV-kontor,0,41
Andre,Sosiale tjenester,Andre,Sosiale tjenester,"Ferdig besvart, avsluttet og henvist nav.no",0,55
Andre,Sosiale tjenester,Andre,Sosiale tjenester,Innringer ringer selv tilbake senere,0,8
Andre,Sosiale tjenester,Andre,Sosiale tjenester,Ringt feil,0,3
Andre,Teknisk brukerstøtte,Andre,Teknisk brukerstøtte,"Ferdig besvart, avsluttet og henvist nav.no",0,2
Andre,Teknisk brukerstøtte,Andre,Teknisk brukerstøtte,Ringt feil,0,2
Andre,Uføretrygd,Andre,Uføretrygd,"Ferdig besvart, avsluttet og henvist nav.no",0,8
Andre i NAV,Annet,Andre i NAV,Annet,Delvis løst/videreformidlet til NAV-kontor,0,2
Andre i NAV,Annet,Andre i NAV,Annet,"Ferdig besvart, avsluttet og henvist nav.no",0,3
Andre i NAV,Annet,Andre i NAV,Annet,Innringer ringer selv tilbake senere,0,1
Andre i NAV,Arbeid og helse,Andre i NAV,Arbeid og helse,Delvis løst/videreformidlet NKS/NSS,0,1
Andre i NAV,Arbeid og helse,Andre i NAV,Arbeid og helse,Delvis løst/videreformidlet til NAV-kontor,0,2
Andre i NAV,Arbeid og helse,Andre i NAV,Arbeid og helse,"Ferdig besvart, avsluttet og henvist nav.no",0,3
Andre i NAV,Arbeid og helse,Andre i NAV,Arbeid og helse,Ringt feil,0,1
Andre i NAV,Arbeidsgiver 1+4,Andre i NAV,Arbeidsgiver 1+4,Delvis løst/videreformidlet til NAV-kontor,0,1
Andre i NAV,Arbeidsgiver 1+4,Andre i NAV,Arbeidsgiver 1+4,"Ferdig besvart, avsluttet og henvist nav.no",0,2
Andre i NAV,Arbeidsgiver 2,Andre i NAV,Arbeidsgiver 2,"Ferdig besvart, avsluttet og henvist nav.no",0,4
Andre i NAV,Arbeidsgiver 2,Andre i NAV,Arbeidsgiver 2,Innringer ringer selv tilbake senere,0,1
Andre i NAV,Familie,Andre i NAV,Familie,Delvis løst/videreformidlet NAV Familie og pensjon,0,2
Andre i NAV,Familie,Andre i NAV,Familie,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Andre i NAV,Familie,Andre i NAV,Familie,"Ferdig besvart, avsluttet og henvist nav.no",0,1
Andre i NAV,Internasjonalt,Andre i NAV,Internasjonalt,"Ferdig besvart, avsluttet og henvist nav.no",0,2
Andre i NAV,Klageinstans,Andre i NAV,Klageinstans,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Andre i NAV,Klageinstans,Andre i NAV,Klageinstans,"Ferdig besvart, avsluttet og henvist nav.no",0,2
Andre i NAV,Lege og behandler,Andre i NAV,Lege og behandler,Ringt feil,0,1
Andre i NAV,Pensjon,Andre i NAV,Pensjon,Delvis løst/videreformidlet NKS/NSS,0,1
Andre i NAV,Pensjon,Andre i NAV,Pensjon,"Ferdig besvart, avsluttet og henvist nav.no",0,8
Andre i NAV,Pensjon,Andre i NAV,Pensjon,Ringt feil,0,1
Andre i NAV,Teknisk brukerstøtte,Andre i NAV,Teknisk brukerstøtte,"Ferdig besvart, avsluttet og henvist nav.no",0,1
Andre i NAV,Uføretrygd,Andre i NAV,Uføretrygd,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Andre i NAV,Uføretrygd,Andre i NAV,Uføretrygd,"Ferdig besvart, avsluttet og henvist nav.no",0,1
Andre i NAV,Uføretrygd,Andre i NAV,Uføretrygd,Innringer ringer selv tilbake senere,0,1
Arbeidsgiver,Annet,Arbeidsgiver,Annet,Delvis løst/videreformidlet NKS/NSS,0,9
Arbeidsgiver,Annet,Arbeidsgiver,Annet,Delvis løst/videreformidlet NØP/NØS,0,1
Arbeidsgiver,Annet,Arbeidsgiver,Annet,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Arbeidsgiver,Annet,Arbeidsgiver,Annet,Delvis løst/videreformidlet til NAV-kontor,0,2
Arbeidsgiver,Annet,Arbeidsgiver,Annet,"Ferdig besvart, avsluttet og henvist nav.no",0,8
Arbeidsgiver,Annet,Arbeidsgiver,Annet,Ringt feil,0,17
Arbeidsgiver,Arbeid og helse,Arbeidsgiver,Arbeid og helse,Delvis løst/videreformidlet NAV Familie og pensjon,0,2
Arbeidsgiver,Arbeid og helse,Arbeidsgiver,Arbeid og helse,Delvis løst/videreformidlet NKS/NSS,0,15
Arbeidsgiver,Arbeid og helse,Arbeidsgiver,Arbeid og helse,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Arbeidsgiver,Arbeid og helse,Arbeidsgiver,Arbeid og helse,Delvis løst/videreformidlet til Arbeid og ytelser,0,11
Arbeidsgiver,Arbeid og helse,Arbeidsgiver,Arbeid og helse,Delvis løst/videreformidlet til NAV-kontor,0,7
Arbeidsgiver,Arbeid og helse,Arbeidsgiver,Arbeid og helse,"Ferdig besvart, avsluttet og henvist nav.no",0,82
Arbeidsgiver,Arbeid og helse,Arbeidsgiver,Arbeid og helse,Innringer ringer selv tilbake senere,0,5
Arbeidsgiver,Arbeid og helse,Arbeidsgiver,Arbeid og helse,Ringt feil,0,17
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Brutt samtale / teknisk feil,0,8
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Delvis løst/videreformidlet NAV Familie og pensjon,0,35
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Delvis løst/videreformidlet NKS/NSS,0,173
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Delvis løst/videreformidlet NØP/NØS,0,8
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Delvis løst/videreformidlet til annen enhet i NAV,0,22
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Delvis løst/videreformidlet til Arbeid og ytelser,0,305
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Delvis løst/videreformidlet til NAV Fylkesledd,0,6
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Delvis løst/videreformidlet til NAV-kontor,0,76
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,"Ferdig besvart, avsluttet og henvist nav.no",0,2066
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Innringer ringer selv tilbake senere,0,30
Arbeidsgiver,Arbeidsgiver 1+4,Arbeidsgiver,Arbeidsgiver 1+4,Ringt feil,0,53
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,Brutt samtale / teknisk feil,0,3
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,Delvis løst/videreformidlet NAV Familie og pensjon,0,1
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,Delvis løst/videreformidlet NKS/NSS,0,33
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,Delvis løst/videreformidlet til annen enhet i NAV,0,5
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,Delvis løst/videreformidlet til Arbeid og ytelser,0,8
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,Delvis løst/videreformidlet til NAV Fylkesledd,0,2
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,Delvis løst/videreformidlet til NAV-kontor,0,229
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,"Ferdig besvart, avsluttet og henvist nav.no",0,334
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,Innringer ringer selv tilbake senere,0,15
Arbeidsgiver,Arbeidsgiver 2,Arbeidsgiver,Arbeidsgiver 2,Ringt feil,0,12
Arbeidsgiver,Arbeidsgiver 3,Arbeidsgiver,Arbeidsgiver 3,Brutt samtale / teknisk feil,0,3
Arbeidsgiver,Arbeidsgiver 3,Arbeidsgiver,Arbeidsgiver 3,Delvis løst/videreformidlet NAV Familie og pensjon,0,1
Arbeidsgiver,Arbeidsgiver 3,Arbeidsgiver,Arbeidsgiver 3,Delvis løst/videreformidlet NKS/NSS,0,22
Arbeidsgiver,Arbeidsgiver 3,Arbeidsgiver,Arbeidsgiver 3,Delvis løst/videreformidlet til annen enhet i NAV,0,2
Arbeidsgiver,Arbeidsgiver 3,Arbeidsgiver,Arbeidsgiver 3,Delvis løst/videreformidlet til Arbeid og ytelser,0,7
Arbeidsgiver,Arbeidsgiver 3,Arbeidsgiver,Arbeidsgiver 3,Delvis løst/videreformidlet til NAV-kontor,0,68
Arbeidsgiver,Arbeidsgiver 3,Arbeidsgiver,Arbeidsgiver 3,"Ferdig besvart, avsluttet og henvist nav.no",0,237
Arbeidsgiver,Arbeidsgiver 3,Arbeidsgiver,Arbeidsgiver 3,Innringer ringer selv tilbake senere,0,27
Arbeidsgiver,Arbeidsgiver 3,Arbeidsgiver,Arbeidsgiver 3,Ringt feil,0,26
Arbeidsgiver,Beskjed til NAV - Ort. hjelpemidler,Arbeidsgiver,Beskjed til NAV - Ort. hjelpemidler,"Ferdig besvart, avsluttet og henvist nav.no",0,1
Arbeidsgiver,Beskjed til NAV - Pensjon,Arbeidsgiver,Beskjed til NAV - Pensjon,Delvis løst/videreformidlet NKS/NSS,0,1
Arbeidsgiver,Beskjed til NAV - Uføretrygd,Arbeidsgiver,Beskjed til NAV - Uføretrygd,Delvis løst/videreformidlet til NAV-kontor,0,1
Arbeidsgiver,Familie,Arbeidsgiver,Familie,Delvis løst/videreformidlet NAV Familie og pensjon,0,2
Arbeidsgiver,Familie,Arbeidsgiver,Familie,Delvis løst/videreformidlet NKS/NSS,0,11
Arbeidsgiver,Familie,Arbeidsgiver,Familie,"Ferdig besvart, avsluttet og henvist nav.no",0,56
Arbeidsgiver,Familie,Arbeidsgiver,Familie,Ringt feil,0,4
Arbeidsgiver,Internasjonalt,Arbeidsgiver,Internasjonalt,Delvis løst/videreformidlet til annen enhet i NAV,0,3
Arbeidsgiver,Internasjonalt,Arbeidsgiver,Internasjonalt,Delvis løst/videreformidlet til Arbeid og ytelser,0,4
Arbeidsgiver,Internasjonalt,Arbeidsgiver,Internasjonalt,Delvis løst/videreformidlet til NAV-kontor,0,2
Arbeidsgiver,Internasjonalt,Arbeidsgiver,Internasjonalt,"Ferdig besvart, avsluttet og henvist nav.no",0,53
Arbeidsgiver,Internasjonalt,Arbeidsgiver,Internasjonalt,Ringt feil,0,4
Arbeidsgiver,Klageinstans,Arbeidsgiver,Klageinstans,"Ferdig besvart, avsluttet og henvist nav.no",0,4
Arbeidsgiver,Lege og behandler,Arbeidsgiver,Lege og behandler,Delvis løst/videreformidlet NKS/NSS,0,1
Arbeidsgiver,Lege og behandler,Arbeidsgiver,Lege og behandler,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Arbeidsgiver,Lege og behandler,Arbeidsgiver,Lege og behandler,"Ferdig besvart, avsluttet og henvist nav.no",0,2
Arbeidsgiver,Pensjon,Arbeidsgiver,Pensjon,Delvis løst/videreformidlet NKS/NSS,0,2
Arbeidsgiver,Pensjon,Arbeidsgiver,Pensjon,Delvis løst/videreformidlet NØP/NØS,0,1
Arbeidsgiver,Pensjon,Arbeidsgiver,Pensjon,"Ferdig besvart, avsluttet og henvist nav.no",0,19
Arbeidsgiver,Pleiepenger,Arbeidsgiver,Pleiepenger,Delvis løst/videreformidlet til Arbeid og ytelser,0,2
Arbeidsgiver,Pleiepenger,Arbeidsgiver,Pleiepenger,"Ferdig besvart, avsluttet og henvist nav.no",0,3
Arbeidsgiver,Sosiale tjenester,Arbeidsgiver,Sosiale tjenester,Ringt feil,0,2
Arbeidsgiver,Teknisk brukerstøtte,Arbeidsgiver,Teknisk brukerstøtte,Delvis løst/videreformidlet NKS/NSS,0,1
Arbeidsgiver,Teknisk brukerstøtte,Arbeidsgiver,Teknisk brukerstøtte,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Arbeidsgiver,Teknisk brukerstøtte,Arbeidsgiver,Teknisk brukerstøtte,"Ferdig besvart, avsluttet og henvist nav.no",0,4
Arbeidsgiver,Teknisk brukerstøtte,Arbeidsgiver,Teknisk brukerstøtte,Ringt feil,0,11
Arbeidsgiver,Uføretrygd,Arbeidsgiver,Uføretrygd,"Ferdig besvart, avsluttet og henvist nav.no",0,9
Arbeidsgiver,Uføretrygd,Arbeidsgiver,Uføretrygd,Ringt feil,0,1
Lege eller behandler,Annet,Lege eller behandler,Annet,Delvis løst/videreformidlet NKS/NSS,0,2
Lege eller behandler,Annet,Lege eller behandler,Annet,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Lege eller behandler,Annet,Lege eller behandler,Annet,"Ferdig besvart, avsluttet og henvist nav.no",0,4
Lege eller behandler,Annet,Lege eller behandler,Annet,Innringer ringer selv tilbake senere,0,2
Lege eller behandler,Arbeid og helse,Lege eller behandler,Arbeid og helse,Brutt samtale / teknisk feil,0,1
Lege eller behandler,Arbeid og helse,Lege eller behandler,Arbeid og helse,Delvis løst/videreformidlet NKS/NSS,0,2
Lege eller behandler,Arbeid og helse,Lege eller behandler,Arbeid og helse,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Lege eller behandler,Arbeid og helse,Lege eller behandler,Arbeid og helse,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Lege eller behandler,Arbeid og helse,Lege eller behandler,Arbeid og helse,Delvis løst/videreformidlet til NAV-kontor,0,9
Lege eller behandler,Arbeid og helse,Lege eller behandler,Arbeid og helse,"Ferdig besvart, avsluttet og henvist nav.no",0,24
Lege eller behandler,Arbeid og helse,Lege eller behandler,Arbeid og helse,Innringer ringer selv tilbake senere,0,3
Lege eller behandler,Arbeid og helse,Lege eller behandler,Arbeid og helse,Ringt feil,0,5
Lege eller behandler,Arbeidsgiver 1+4,Lege eller behandler,Arbeidsgiver 1+4,Delvis løst/videreformidlet NKS/NSS,0,1
Lege eller behandler,Arbeidsgiver 1+4,Lege eller behandler,Arbeidsgiver 1+4,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Lege eller behandler,Arbeidsgiver 1+4,Lege eller behandler,Arbeidsgiver 1+4,Delvis løst/videreformidlet til NAV-kontor,0,1
Lege eller behandler,Arbeidsgiver 1+4,Lege eller behandler,Arbeidsgiver 1+4,"Ferdig besvart, avsluttet og henvist nav.no",0,2
Lege eller behandler,Arbeidsgiver 2,Lege eller behandler,Arbeidsgiver 2,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Lege eller behandler,Arbeidsgiver 2,Lege eller behandler,Arbeidsgiver 2,Delvis løst/videreformidlet til NAV-kontor,0,2
Lege eller behandler,Arbeidsgiver 2,Lege eller behandler,Arbeidsgiver 2,"Ferdig besvart, avsluttet og henvist nav.no",0,4
Lege eller behandler,Arbeidsgiver 2,Lege eller behandler,Arbeidsgiver 2,Innringer ringer selv tilbake senere,0,1
Lege eller behandler,Arbeidsgiver 3,Lege eller behandler,Arbeidsgiver 3,Delvis løst/videreformidlet til NAV-kontor,0,4
Lege eller behandler,Arbeidsgiver 3,Lege eller behandler,Arbeidsgiver 3,"Ferdig besvart, avsluttet og henvist nav.no",0,1
Lege eller behandler,Familie,Lege eller behandler,Familie,Delvis løst/videreformidlet NAV Familie og pensjon,0,1
Lege eller behandler,Familie,Lege eller behandler,Familie,Delvis løst/videreformidlet NKS/NSS,0,2
Lege eller behandler,Familie,Lege eller behandler,Familie,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Lege eller behandler,Familie,Lege eller behandler,Familie,"Ferdig besvart, avsluttet og henvist nav.no",0,13
Lege eller behandler,Internasjonalt,Lege eller behandler,Internasjonalt,Delvis løst/videreformidlet NAV Familie og pensjon,0,1
Lege eller behandler,Internasjonalt,Lege eller behandler,Internasjonalt,Delvis løst/videreformidlet NKS/NSS,0,1
Lege eller behandler,Internasjonalt,Lege eller behandler,Internasjonalt,"Ferdig besvart, avsluttet og henvist nav.no",0,7
Lege eller behandler,Klageinstans,Lege eller behandler,Klageinstans,Delvis løst/videreformidlet til annen enhet i NAV,0,2
Lege eller behandler,Klageinstans,Lege eller behandler,Klageinstans,Innringer ringer selv tilbake senere,0,1
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,Brutt samtale / teknisk feil,0,4
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,Delvis løst/videreformidlet NAV Familie og pensjon,0,3
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,Delvis løst/videreformidlet NKS/NSS,0,74
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,Delvis løst/videreformidlet til annen enhet i NAV,0,3
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,Delvis løst/videreformidlet til Arbeid og ytelser,0,38
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,Delvis løst/videreformidlet til NAV Fylkesledd,0,3
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,Delvis løst/videreformidlet til NAV-kontor,0,402
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,"Ferdig besvart, avsluttet og henvist nav.no",0,370
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,Innringer ringer selv tilbake senere,0,55
Lege eller behandler,Lege og behandler,Lege eller behandler,Lege og behandler,Ringt feil,0,50
Lege eller behandler,Pensjon,Lege eller behandler,Pensjon,"Ferdig besvart, avsluttet og henvist nav.no",0,2
Lege eller behandler,Pleiepenger,Lege eller behandler,Pleiepenger,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Lege eller behandler,Pleiepenger,Lege eller behandler,Pleiepenger,"Ferdig besvart, avsluttet og henvist nav.no",0,5
Lege eller behandler,Pleiepenger,Lege eller behandler,Pleiepenger,Innringer ringer selv tilbake senere,0,1
Lege eller behandler,Sosiale tjenester,Lege eller behandler,Sosiale tjenester,Brutt samtale / teknisk feil,0,2
Lege eller behandler,Sosiale tjenester,Lege eller behandler,Sosiale tjenester,Delvis løst/videreformidlet NKS/NSS,0,3
Lege eller behandler,Sosiale tjenester,Lege eller behandler,Sosiale tjenester,Delvis løst/videreformidlet til NAV-kontor,0,18
Lege eller behandler,Sosiale tjenester,Lege eller behandler,Sosiale tjenester,"Ferdig besvart, avsluttet og henvist nav.no",0,24
Lege eller behandler,Sosiale tjenester,Lege eller behandler,Sosiale tjenester,Innringer ringer selv tilbake senere,0,5
Lege eller behandler,Sosiale tjenester,Lege eller behandler,Sosiale tjenester,Ringt feil,0,2
Lege eller behandler,Teknisk brukerstøtte,Lege eller behandler,Teknisk brukerstøtte,Delvis løst/videreformidlet NKS/NSS,0,1
Lege eller behandler,Teknisk brukerstøtte,Lege eller behandler,Teknisk brukerstøtte,"Ferdig besvart, avsluttet og henvist nav.no",0,1
Lege eller behandler,Teknisk brukerstøtte,Lege eller behandler,Teknisk brukerstøtte,Ringt feil,0,1
Lege eller behandler,Uføretrygd,Lege eller behandler,Uføretrygd,Delvis løst/videreformidlet NKS/NSS,0,1
Lege eller behandler,Uføretrygd,Lege eller behandler,Uføretrygd,"Ferdig besvart, avsluttet og henvist nav.no",0,7
NAV-kontoret,Annet,NAV-kontoret,Annet,Delvis løst/videreformidlet NØP/NØS,0,1
NAV-kontoret,Annet,NAV-kontoret,Annet,Delvis løst/videreformidlet til annen enhet i NAV,0,1
NAV-kontoret,Annet,NAV-kontoret,Annet,Delvis løst/videreformidlet til NAV-kontor,0,1
NAV-kontoret,Annet,NAV-kontoret,Annet,"Ferdig besvart, avsluttet og henvist nav.no",0,7
NAV-kontoret,Annet,NAV-kontoret,Annet,Ringt feil,0,3
NAV-kontoret,Arbeid og helse,NAV-kontoret,Arbeid og helse,"Ferdig besvart, avsluttet og henvist nav.no",0,10
NAV-kontoret,Arbeidsgiver 1+4,NAV-kontoret,Arbeidsgiver 1+4,Ringt feil,0,1
NAV-kontoret,Arbeidsgiver 3,NAV-kontoret,Arbeidsgiver 3,"Ferdig besvart, avsluttet og henvist nav.no",0,1
NAV-kontoret,Beskjed til NAV - Pensjon,NAV-kontoret,Beskjed til NAV - Pensjon,"Ferdig besvart, avsluttet og henvist nav.no",0,1
NAV-kontoret,Familie,NAV-kontoret,Familie,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
NAV-kontoret,Familie,NAV-kontoret,Familie,"Ferdig besvart, avsluttet og henvist nav.no",0,20
NAV-kontoret,Familie,NAV-kontoret,Familie,Ringt feil,0,1
NAV-kontoret,Internasjonalt,NAV-kontoret,Internasjonalt,Delvis løst/videreformidlet til Arbeid og ytelser,0,2
NAV-kontoret,Internasjonalt,NAV-kontoret,Internasjonalt,"Ferdig besvart, avsluttet og henvist nav.no",0,10
NAV-kontoret,Internasjonalt,NAV-kontoret,Internasjonalt,Innringer ringer selv tilbake senere,0,1
NAV-kontoret,Internasjonalt,NAV-kontoret,Internasjonalt,Ringt feil,0,1
NAV-kontoret,Klageinstans,NAV-kontoret,Klageinstans,"Ferdig besvart, avsluttet og henvist nav.no",0,1
NAV-kontoret,Klageinstans,NAV-kontoret,Klageinstans,Innringer ringer selv tilbake senere,0,1
NAV-kontoret,Lege og behandler,NAV-kontoret,Lege og behandler,Delvis løst/videreformidlet NKS/NSS,0,1
NAV-kontoret,Lege og behandler,NAV-kontoret,Lege og behandler,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
NAV-kontoret,Lege og behandler,NAV-kontoret,Lege og behandler,"Ferdig besvart, avsluttet og henvist nav.no",0,1
NAV-kontoret,Pensjon,NAV-kontoret,Pensjon,Delvis løst/videreformidlet NAV Familie og pensjon,0,2
NAV-kontoret,Pensjon,NAV-kontoret,Pensjon,Delvis løst/videreformidlet NØP/NØS,0,3
NAV-kontoret,Pensjon,NAV-kontoret,Pensjon,"Ferdig besvart, avsluttet og henvist nav.no",0,17
NAV-kontoret,Pensjon,NAV-kontoret,Pensjon,Ringt feil,0,2
NAV-kontoret,Sosiale tjenester,NAV-kontoret,Sosiale tjenester,Delvis løst/videreformidlet til NAV-kontor,0,3
NAV-kontoret,Sosiale tjenester,NAV-kontoret,Sosiale tjenester,"Ferdig besvart, avsluttet og henvist nav.no",0,5
NAV-kontoret,Teknisk brukerstøtte,NAV-kontoret,Teknisk brukerstøtte,Delvis løst/videreformidlet til NAV Fylkesledd,0,1
NAV-kontoret,Teknisk brukerstøtte,NAV-kontoret,Teknisk brukerstøtte,"Ferdig besvart, avsluttet og henvist nav.no",0,22
NAV-kontoret,Teknisk brukerstøtte,NAV-kontoret,Teknisk brukerstøtte,Ringt feil,0,2
NAV-kontoret,Uføretrygd,NAV-kontoret,Uføretrygd,Delvis løst/videreformidlet NKS/NSS,0,1
NAV-kontoret,Uføretrygd,NAV-kontoret,Uføretrygd,"Ferdig besvart, avsluttet og henvist nav.no",0,9
